学员,上机总时长,天数,小时数,分钟数,秒数
1,0天0小时3分26秒,0,0,3,26
admin,0天0小时2分13秒,0,0,2,13
mc,0天0小时0分12秒,0,0,0,12
q,0天0小时0分5秒,0,0,0,5
马聪,0天0小时0分22秒,0,0,0,22
